propertyId,propertyType,salePrice,area,areac,rooms,bathrooms,garages,city,zone,neighborhood,commonNeighborhood,adminPrice,companyName,propertyState,coordinates,link,builtTime,stratum
687-M4940622,"{'id': '14', 'nombre': 'Apartaestudio'}",790000000,88.0,88.0,1,2,1,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",LOS BALSOS NO 1,EL POBLADO,976754.0,PROINTEGRAL SA,Usado,"{'lon': -75.55996, 'lat': 6.186964}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-medellin-los-balsos-no.1-1-habitaciones-2-banos-1-garajes/687-M4940622,Entre 0 y 5 años,6
12116-M4645441,"{'id': '1', 'nombre': 'Apartamento'}",380000000,42.0,42.0,1,1,1,"{'id': '3', 'nombre': 'Medellín'}","{'id': '37', 'nombre': 'Suroccidente'}",SANTA FE,GUAYABAL,150000.0,GRUPO INMOBILIARIO CABAL SAS,Usado,"{'lon': -75.581154, 'lat': 6.222963}",https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-santa-fe-1-habitaciones-1-banos-1-garajes/12116-M4645441,Entre 0 y 5 años,3
687-M3485643,"{'id': '14', 'nombre': 'Apartaestudio'}",430000000,52.0,52.0,1,2,1,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",VILLA CARLOTA,EL POBLADO,196000.0,PROINTEGRAL SA,Usado,"{'lon': -75.57125, 'lat': 6.2211313}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-medellin-villa-carlota-1-habitaciones-2-banos-1-garajes/687-M3485643,Entre 0 y 5 años,6
12116-M2988843,"{'id': '14', 'nombre': 'Apartaestudio'}",500000000,110.0,110.0,1,2,2,"{'id': '3', 'nombre': 'Medellín'}",,LOS COLORES,LOS COLORES,352000.0,GRUPO INMOBILIARIO CABAL SAS,Usado,"{'lon': -75.5842, 'lat': 6.2430243}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-medellin-los-colores-1-habitaciones-2-banos-2-garajes/12116-M2988843,Entre 10 y 20 años,4
687-M4910966,"{'id': '14', 'nombre': 'Apartaestudio'}",900000000,106.0,106.0,1,2,2,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",ALEJANDRIA,EL POBLADO,672626.0,PROINTEGRAL SA,Usado,"{'lon': -75.56806, 'lat': 6.199848}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-medellin-alejandria-1-habitaciones-2-banos-2-garajes/687-M4910966,Entre 10 y 20 años,6
687-M4137188,"{'id': '14', 'nombre': 'Apartaestudio'}",570000000,60.0,60.0,1,2,1,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",LOS BALSOS NO 1,EL POBLADO,0.0,PROINTEGRAL SA,Usado,"{'lon': -75.56538, 'lat': 6.19265}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-medellin-los-balsos-no.1-1-habitaciones-2-banos-1-garajes/687-M4137188,Entre 0 y 5 años,6
687-M4773436,"{'id': '1', 'nombre': 'Apartamento'}",360000000,31.0,31.0,1,1,1,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",EL DIAMANTE NO 2,EL POBLADO,267000.0,PROINTEGRAL SA,Usado,"{'lon': -75.576904, 'lat': 6.184935}",https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-diamante-no.2-1-habitaciones-1-banos-1-garajes/687-M4773436,Entre 0 y 5 años,6
687-M5463442,"{'id': '1', 'nombre': 'Apartamento'}",690000000,68.0,68.0,1,2,1,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",SIMESA,EL POBLADO,500000.0,PROINTEGRAL SA,Usado,"{'lon': -75.57379, 'lat': 6.218236}",https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-simesa-1-habitaciones-2-banos-1-garajes/687-M5463442,Entre 5 y 10 años,6
12116-M5065090,"{'id': '1', 'nombre': 'Apartamento'}",370000000,54.0,54.0,1,1,1,"{'id': '3', 'nombre': 'Medellín'}","{'id': '37', 'nombre': 'Suroccidente'}",LOMA DE LOS BERNAL,BELEN,320000.0,GRUPO INMOBILIARIO CABAL SAS,Usado,"{'lon': -75.604164, 'lat': 6.2175794}",https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-loma-de-los-bernal-1-habitaciones-1-banos-1-garajes/12116-M5065090,Entre 5 y 10 años,5
17798-M5303884,"{'id': '1', 'nombre': 'Apartamento'}",920000000,93.0,93.0,1,2,1,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",LOS BALSOS NO 1,EL POBLADO,525000.0,HOMES & HAUSES,Usado,"{'lon': -75.56286, 'lat': 6.1933265}",https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-no.1-1-habitaciones-2-banos-1-garajes/17798-M5303884,Entre 5 y 10 años,5
687-M4869451,"{'id': '14', 'nombre': 'Apartaestudio'}",375000000,52.0,52.0,1,1,1,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",EL DIAMANTE NO 2,EL POBLADO,540000.0,PROINTEGRAL SA,Usado,"{'lon': -75.57344, 'lat': 6.1856403}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-medellin-el-diamante-no.2-1-habitaciones-1-banos-1-garajes/687-M4869451,Entre 10 y 20 años,6
687-M2898563,"{'id': '14', 'nombre': 'Apartaestudio'}",510000000,90.0,90.0,1,2,2,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",ALEJANDRIA,EL POBLADO,620000.0,PROINTEGRAL SA,Usado,"{'lon': -75.56875, 'lat': 6.201619}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-medellin-alejandria-1-habitaciones-2-banos-2-garajes/687-M2898563,Entre 10 y 20 años,6
12116-M5065623,"{'id': '1', 'nombre': 'Apartamento'}",515000000,55.0,55.0,1,2,1,"{'id': '3', 'nombre': 'Medellín'}","{'id': '35', 'nombre': 'Noroccidente'}",LOS CONQUISTADORES,LAURELES,399900.0,GRUPO INMOBILIARIO CABAL SAS,Usado,"{'lon': -75.58172, 'lat': 6.2417216}",https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-conquistadores-1-habitaciones-2-banos-1-garajes/12116-M5065623,Entre 5 y 10 años,5
12116-M5065689,"{'id': '1', 'nombre': 'Apartamento'}",515000000,37.0,37.0,1,1,0,"{'id': '3', 'nombre': 'Medellín'}","{'id': '35', 'nombre': 'Noroccidente'}",LOS CONQUISTADORES,LAURELES,386400.0,GRUPO INMOBILIARIO CABAL SAS,Usado,"{'lon': -75.58175, 'lat': 6.2424107}",https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-conquistadores-1-habitaciones-1-banos/12116-M5065689,Entre 5 y 10 años,5
12116-M5278983,"{'id': '1', 'nombre': 'Apartamento'}",395000000,43.0,43.0,1,1,1,"{'id': '3', 'nombre': 'Medellín'}","{'id': '37', 'nombre': 'Suroccidente'}",SANTA FE,GUAYABAL,141186.0,GRUPO INMOBILIARIO CABAL SAS,Usado,"{'lon': -75.58186, 'lat': 6.2195873}",https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-santa-fe-1-habitaciones-1-banos-1-garajes/12116-M5278983,Entre 5 y 10 años,4
687-M5014197,"{'id': '1', 'nombre': 'Apartamento'}",1140000000,110.0,110.0,1,2,1,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",LA FLORIDA,EL POBLADO,670678.0,PROINTEGRAL SA,Usado,"{'lon': -75.56403, 'lat': 6.205695}",https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-la-florida-1-habitaciones-2-banos-1-garajes/687-M5014197,Entre 10 y 20 años,6
687-M5041304,"{'id': '1', 'nombre': 'Apartamento'}",1030000000,88.0,88.0,1,2,2,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",LOS BALSOS NO 1,EL POBLADO,666000.0,PROINTEGRAL SA,Usado,"{'lon': -75.55973, 'lat': 6.1919775}",https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-balsos-no.1-1-habitaciones-2-banos-2-garajes/687-M5041304,Entre 10 y 20 años,6
687-M2699058,"{'id': '1', 'nombre': 'Apartamento'}",630000000,86.0,86.0,1,2,2,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",SAN LUCAS,EL POBLADO,430000.0,PROINTEGRAL SA,Usado,"{'lon': -75.5659, 'lat': 6.1835613}",https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-san-lucas-1-habitaciones-2-banos-2-garajes/687-M2699058,Entre 10 y 20 años,6
17098-M5132606,"{'id': '1', 'nombre': 'Apartamento'}",650000000,77.0,77.0,1,2,1,"{'id': '3', 'nombre': 'Medellín'}","{'id': '34', 'nombre': 'Centro'}",SAN BENITO,Conquistadores,815000.0,PAULA MONSALVE PROPIEDAD RAIZ,Usado,"{'lon': -75.57178, 'lat': 6.2503276}",https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-san-benito-1-habitaciones-2-banos-1-garajes/17098-M5132606,Más de 20 años,5
17098-M5132597,"{'id': '1', 'nombre': 'Apartamento'}",560000000,77.0,77.0,1,2,1,"{'id': '3', 'nombre': 'Medellín'}","{'id': '34', 'nombre': 'Centro'}",SAN BENITO,Conquistadores,816000.0,PAULA MONSALVE PROPIEDAD RAIZ,Usado,"{'lon': -75.57178, 'lat': 6.2503276}",https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-san-benito-1-habitaciones-2-banos-1-garajes/17098-M5132597,Entre 5 y 10 años,5
16420-M4984834,"{'id': '14', 'nombre': 'Apartaestudio'}",1350000000,125.8,125.8,1,2,2,"{'id': '3', 'nombre': 'Medellín'}",,NA,El Poblado,920000.0,ZONIKA INMOBILIARIA,Usado,"{'lon': 0, 'lat': 0}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-medellin-na-1-habitaciones-2-banos-2-garajes/16420-M4984834,Entre 5 y 10 años,6
14778-M4768735,"{'id': '1', 'nombre': 'Apartamento'}",714000000,70.0,70.0,1,2,1,"{'id': '3', 'nombre': 'Medellín'}",,SIMESA,Ciudad Del Rio,260000.0,Cwk inmobiliario,Usado,"{'lon': -75.57306, 'lat': 6.2237787}",https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-simesa-1-habitaciones-2-banos-1-garajes/14778-M4768735,Entre 0 y 5 años,6
16193-M4808537,"{'id': '1', 'nombre': 'Apartamento'}",700000000,75.0,75.0,1,2,2,"{'id': '3', 'nombre': 'Medellín'}","{'id': '36', 'nombre': 'Nororiente'}",LAS PALMAS,ALTO DE PALMAS,590000.0,Ventas Luxury House ,Usado,"{'lon': -75.56593, 'lat': 6.240578}",https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-las-palmas-1-habitaciones-2-banos-2-garajes/16193-M4808537,Entre 5 y 10 años,6
14678-M5048726,"{'id': '14', 'nombre': 'Apartaestudio'}",520000000,58.35,58.35,1,1,0,"{'id': '3', 'nombre': 'Medellín'}","{'id': '35', 'nombre': 'Noroccidente'}",LOS CONQUISTADORES,LOS CONQUISTADORES,168000.0,TERNA INMOBILIARIA SAS,Usado,"{'lon': -75.58198, 'lat': 6.2411537}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-medellin-los-conquistadores-1-habitaciones-1-banos/14678-M5048726,Entre 0 y 5 años,5
14633-M5358486,"{'id': '14', 'nombre': 'Apartaestudio'}",500000000,52.0,52.0,1,2,1,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",VILLA CARLOTA,CIUDAD DEL RIO,248000.0,HEXAGONO INMOBILIARIO,Usado,"{'lon': -75.571266, 'lat': 6.2235327}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-medellin-villa-carlota-1-habitaciones-2-banos-1-garajes/14633-M5358486,Entre 5 y 10 años,5
17747-M5457956,"{'id': '14', 'nombre': 'Apartaestudio'}",385000000,60.0,60.0,1,2,0,"{'id': '3', 'nombre': 'Medellín'}","{'id': '37', 'nombre': 'Suroccidente'}",BELEN,BELEN,0.0,Paola Piedrahita,Usado,"{'lon': -75.603355, 'lat': 6.231845}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-medellin-belen-1-habitaciones-2-banos/17747-M5457956,Entre 0 y 5 años,4
12475-M5309835,"{'id': '1', 'nombre': 'Apartamento'}",1900000000,82.0,82.0,1,1,1,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",LAS LOMAS NO 1,EL POBLADO LAS LOMAS,765000.0,SARA REAL ESTATE 4 U,Usado,"{'lon': -75.559166, 'lat': 6.211202}",https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-las-lomas-no.1-1-habitaciones-1-banos-1-garajes/12475-M5309835,Entre 5 y 10 años,6
15853-M4307162,"{'id': '1', 'nombre': 'Apartamento'}",825000000,67.0,67.0,1,2,1,"{'id': '3', 'nombre': 'Medellín'}","{'id': '38', 'nombre': 'Suroriente'}",LA CANDELARIA,Linares,,BUYHOMES MEDELLIN,Usado,"{'lon': -75.56582, 'lat': 6.2476377}",https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-la-candelaria-1-habitaciones-2-banos-1-garajes/15853-M4307162,Entre 0 y 5 años,6
2895-M5460678,"{'id': '14', 'nombre': 'Apartaestudio'}",175000000,26.0,26.0,1,5,0,"{'id': '3', 'nombre': 'Medellín'}","{'id': '36', 'nombre': 'Nororiente'}",MIRAFLORES,Buenos Aires,96000.0,GRUPO EMPRESARIAL MONOPOLIO INMOBILIARIO,Usado,"{'lon': -75.5491, 'lat': 6.237705}",https://www.metrocuadrado.com/inmueble/venta-apartaestudio-medellin-miraflores-1-habitaciones-5-banos/2895-M5460678,Entre 5 y 10 años,4
