Closets,adminPrice,area,areac,bathrooms,city,commonNeighborhood,companyName,coordinates,garages,link,neighborhood,propertyId,propertyState,propertyType,rooms,salePrice,stratum,zone,First Extraction Date,Last Extraction Date,builtTime_min_year,builtTime_max_year
1659840000,"{'id': '4448', 'nombre': 'Girardota'}",,GIRARDOTA,Girardota,"{'id': '', 'nombre': '4'}","{'lon': -75.44795, 'lat': 6.38948}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-girardota-4-banos-2-garajes/22723-M6639663,Entre 0 y 5 años,319.2,2026-07-19,,,,,,,,,319.2,319.2,,
6500000000,"{'id': '4448', 'nombre': 'Girardota'}",,GIRARDOTA,Girardota,"{'id': '', 'nombre': '5'}","{'lon': -75.44423, 'lat': 6.39203}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-girardota-5-banos-3-garajes/22723-M6802383,Entre 5 y 10 años,1300.0,2026-07-19,,,,,,,,,1300.0,1300.0,,
1970800000,"{'id': '4448', 'nombre': 'Girardota'}",,GIRARDOTA,Girardota,"{'id': '', 'nombre': '4'}","{'lon': -75.44795, 'lat': 6.38948}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-girardota-4-banos-2-garajes/22723-M6639697,Entre 0 y 5 años,379.0,2026-07-19,,,,,,,,,379.0,379.0,,
5808015000,"{'id': '4448', 'nombre': 'Girardota'}",,GIRARDOTA,Girardota,"{'id': '', 'nombre': '2'}","{'lon': -75.44557, 'lat': 6.37742}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-girardota-2-banos-1-garajes/22723-M6642263,Entre 0 y 5 años,1290.67,2026-07-19,,,,,,,,,1290.67,1290.67,,
3816800000,"{'id': '4448', 'nombre': 'Girardota'}",,GIRARDOTA,Girardota,"{'id': '', 'nombre': '4'}","{'lon': -75.44207, 'lat': 6.39432}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-girardota-4-banos-4-garajes/22723-M6642082,Entre 10 y 20 años,734.0,2026-07-19,,,,,,,,,734.0,734.0,,
5159949000,"{'id': '4448', 'nombre': 'Girardota'}",,GIRARDOTA,Girardota,"{'id': '', 'nombre': '2'}","{'lon': -75.44859, 'lat': 6.39088}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-girardota-2-banos-1-garajes/22723-M6642267,Entre 0 y 5 años,1279.31,2026-07-19,,,,,,,,,1279.31,1279.31,,
4851585000,"{'id': '4448', 'nombre': 'Girardota'}",,GIRARDOTA,Girardota,"{'id': '', 'nombre': '2'}","{'lon': -75.44847, 'lat': 6.3907}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-girardota-2-banos/22723-M6642268,Entre 0 y 5 años,1078.13,2026-07-19,,,,,,,,,1078.13,1078.13,,
4538565000,"{'id': '4448', 'nombre': 'Girardota'}",,GIRARDOTA,Girardota,"{'id': '', 'nombre': '2'}","{'lon': -75.44838, 'lat': 6.39062}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-girardota-2-banos-1-garajes/22723-M6642278,Entre 0 y 5 años,1008.57,2026-07-19,,,,,,,,,1008.57,1008.57,,
1323140000,"{'id': '4448', 'nombre': 'Girardota'}",,GIRARDOTA,Girardota,"{'id': '', 'nombre': '4'}","{'lon': -75.44795, 'lat': 6.38948}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-girardota-4-banos-3-garajes/22723-M6629611,Entre 0 y 5 años,254.45,2026-07-19,,,,,,,,,254.45,254.45,,
11078000000,"{'id': '4448', 'nombre': 'Girardota'}",,GIRARDOTA,Girardota,"{'id': '', 'nombre': '4'}","{'lon': -75.44557, 'lat': 6.37742}",https://www.metrocuadrado.com/inmueble/venta-bodega-girardota-girardota-4-banos-4-garajes/14785-M5658959,Entre 10 y 20 años,2201.0,2026-07-19,,,,,,,,,2201.0,2201.0,,
